Tool	Reference	SampleName	CellType	Prediction	Answer	Error	SqError
Cibersort	EPIC-BCIC.tsv	E	CD8 T Cell	0.0	0.846	0.846	0.715716
Cibersort	EPIC-BCIC.tsv	F	B Cells	0.0159292566498	0.027	0.0110707433502	0.000122561358326
Cibersort	EPIC-BCIC.tsv	F	Monocytes	0.0873566625288	0.055	0.0323566625288	0.00104695361
Cibersort	EPIC-BCIC.tsv	F	NK Cells	0.604171415603	0.885	0.280828584397	0.0788646938144
Cibersort	EPIC-BCIC.tsv	F	Neutrophils	0.00203250102793	0.017	0.0149674989721	0.000224026025479
Cibersort	EPIC-BCIC.tsv	F	CD4 T Cells	0.290510164191	0.011	0.279510164191	0.0781259318861
Cibersort	EPIC-BCIC.tsv	F	CD8 T Cell	0.0	0.005	0.005	2.5e-05
Cibersort	EPIC-BCIC.tsv	G	B Cells	0.029733487936	0.159	0.129266512064	0.0167098311412
Cibersort	EPIC-BCIC.tsv	G	Monocytes	0.408974969162	0.319	0.089974969162	0.0080954950757
Cibersort	EPIC-BCIC.tsv	G	NK Cells	0.183385791817	0.016	0.167385791817	0.0280180033022
Cibersort	EPIC-BCIC.tsv	G	Neutrophils	0.0828744798655	0.395	0.312125520135	0.0974223403192
Cibersort	EPIC-BCIC.tsv	G	CD4 T Cells	0.29503127122	0.08	0.21503127122	0.0462384476025
Cibersort	EPIC-BCIC.tsv	G	CD8 T Cell	0.0	0.032	0.032	0.001024
Cibersort	EPIC-BCIC.tsv	H	B Cells	0.0305494874594	0.1	0.0694505125406	0.00482337369215
Cibersort	EPIC-BCIC.tsv	H	Monocytes	0.560652683069	0.813	0.252347316931	0.0636791683623
Cibersort	EPIC-BCIC.tsv	H	NK Cells	0.181796442912	0.01	0.171796442912	0.0295140177972
Cibersort	EPIC-BCIC.tsv	H	Neutrophils	0.0	0.001	0.001	1e-06
Cibersort	EPIC-BCIC.tsv	H	CD4 T Cells	0.227001386559	0.05	0.177001386559	0.0313294908438
Cibersort	EPIC-BCIC.tsv	H	CD8 T Cell	0.0	0.025	0.025	0.000625
Cibersort	EPIC-BCIC.tsv	I	B Cells	0.0527601796051	0.1	0.0472398203949	0.00223160063094
Cibersort	EPIC-BCIC.tsv	I	Monocytes	0.639016523175	0.813	0.173983476825	0.0302702502081
Cibersort	EPIC-BCIC.tsv	I	NK Cells	0.101929237284	0.01	0.091929237284	0.00845098466762
Cibersort	EPIC-BCIC.tsv	I	Neutrophils	0.0	0.001	0.001	1e-06
Cibersort	EPIC-BCIC.tsv	I	CD4 T Cells	0.206294059936	0.05	0.156294059936	0.0244278331713
Cibersort	EPIC-BCIC.tsv	I	CD8 T Cell	0.0	0.025	0.025	0.000625
